Bathing,Tooth Brushing,Mouth Contact following Hand Submersion
0,0,0
0.153669976,0.11848715,0.10333505
0.092296002,0.045051547,0.014000714
0.154762835,0.120691267,0.098687193
0.104460228,0.069288383,0.06599454
0.152550501,0.114266774,0.092460532
0.081694668,0.053236125,0.04701488
0.187693175,0.162139388,0.138316496
0.191559427,0.164313271,0.136763273
0.141164838,0.113623875,0.068032548
0.10988024,0.071214905,0.035498733
0.108557424,0.068614059,0.056263361
0.09491302,0.062725614,0.029781582
0.144697378,0.101462408,0.104137515
0.173614482,0.144897973,0.129733006
0.1543662,0.114874829,0.050670135
0.088408891,0.052116543,0.043371713
0.108665407,0.067743913,0.039433626
0.182703114,0.154839799,0.126041479
0.086592805,0.056989758,0.032434636
0.11898781,0.096414512,0.076708532
0.140164797,0.108383934,0.061682978
0.138629576,0.104636729,0.080756575
0.147153218,0.080566218,0.074682679
0.137742903,0.10987549,0.097023282
0.06559001,0.039102655,0.010530634
0.113022631,0.075857647,0.06695494
0.138813084,0.088660646,0.090311036
0.110253556,0.083120008,0.061252378
0.148058682,0.103850597,0.105841816
0.141756775,0.110499132,0.092136295
0.042253075,0.011391764,0.012133547
0.158156322,0.10828906,0.116841077
0.134398217,0.076008925,0.076543766
0.170847819,0.123473648,0.119685294
0.139025674,0.10992662,0.080352182
0.033636095,0.009988042,0.004832676
0.088358179,0.045023659,0.045739758
0.165694738,0.136379136,0.108151218
0.152845253,0.129771343,0.104982537
0.131191424,0.101809026,0.085135658
0.23064828,0.208560649,0.202808965
0.102570813,0.072257682,0.05327608
0.035181503,0.008938129,0.003062791
0.209715113,0.170546206,0.14005905
0.144079516,0.105061719,0.10471193
0.116932993,0.082526084,0.080602786
0.177491459,0.137386289,0.152071325
0.166097811,0.132369317,0.110048152
0.062715867,0.036671926,0.012012768
0.00434445,0.000430329,0.000227221
0.124460677,0.090104217,0.065911315
0.165835917,0.135843627,0.096636877
0.158025466,0.131079532,0.107066197
0.184254974,0.142476796,0.156932308
0.138128535,0.08373549,0.080581823
0.152774306,0.12690477,0.106702526
0.099736203,0.044024973,0.033307335
0.091268046,0.046753791,0.001445225
0.104477951,0.073625497,0.032995474
0.000514983,0.00014566,5.91E-05
0.118880427,0.090076541,0.05129282
0.144274526,0.109049721,0.091546104
0.117295305,0.069960956,0.06353153
0.071149261,0.039432893,0.027301992
0.151615648,0.112672393,0.082067941
0.138053723,0.10377404,0.092139889
0.174757031,0.136472673,0.140651226
0.090881464,0.033440235,0.022762615
0.16408933,0.133644904,0.117380395
0.139297264,0.110839292,0.07813422
0.171634778,0.120266752,0.108714755
0.11636401,0.080797084,0.017079812
0.012476264,0.002847546,0.001536782
0.149098622,0.100694814,0.10979054
0.187000269,0.164248535,0.156373934
0.19507317,0.149029463,0.1601625
0.175131151,0.138479235,0.150296965
0.106585895,0.061988675,0.012213657
0.196288939,0.165535872,0.148951354
0.192774372,0.144347224,0.152396119
0.184986765,0.153534404,0.133375815
0.133348433,0.104357115,0.065320642
0.041848873,0.011211232,0.009616127
0.076688402,0.026455086,0.035926185
0.119346816,0.084146893,0.054673589
0.131478691,0.093122269,0.086663536
0.144099546,0.087619629,0.086534096
0.190166036,0.169571558,0.154783138
0.148855277,0.112479616,0.097323841
0.191851425,0.166354523,0.154625845
0.086826457,0.055285107,0.043332376
0.142731109,0.08805178,0.123013062
0.125527094,0.083162574,0.077843206
0.125390571,0.087243521,0.07262532
0.169754742,0.136798151,0.119142197
0.136637482,0.074699803,0.048199148
0.161779456,0.138671771,0.132826834
0.106527678,0.063247633,0.053371181
0.187788612,0.164855124,0.118221215
0.035612902,0.013514654,0.001452559
0.138972154,0.104729294,0.070275405
0.168749636,0.150073569,0.143026311
0.138120069,0.096105535,0.058578885
0.184313134,0.149266296,0.123951528
0.122176302,0.080794852,0.062846873
0.1189654,0.089068782,0.065910369
0.188902606,0.167399768,0.160155671
0.106979249,0.052554595,0.023406514
0.154973839,0.117702709,0.111947784
0.21053923,0.172966819,0.164005397
0.187453572,0.159028105,0.146496273
0.142625429,0.100290768,0.100949819
0.163863334,0.102943314,0.123611365
0.19078142,0.161666929,0.131619148
0.090220963,0.058061767,0.046277307
0.089635613,0.059103117,0.033086244
0.165169381,0.134082761,0.107667483
0.085987816,0.055081531,0.019813653
0.115939537,0.083147414,0.065849972
0.147924201,0.102972389,0.109845614
0.196328469,0.169031416,0.170193713
0.163650504,0.102857192,0.121639945
0.173490498,0.136178775,0.139354239
0.156518179,0.129888129,0.085737154
0.085154989,0.030387242,0.039238028
0.160906653,0.122778111,0.094476412
0.219108863,0.204648034,0.19805305
0.156820763,0.135274214,0.123358798
0.162503005,0.124471888,0.103619366
0.098499504,0.028233623,0.051156602
0.116217308,0.087426952,0.060223612
0.174936288,0.122720759,0.127245232
0.136545339,0.083885115,0.090541377
0.130769755,0.083697628,0.074197891
0.117688645,0.051195765,0.067812884
0.174100039,0.148742183,0.123320125
0.180917693,0.152747109,0.139044103
0.198129095,0.156207375,0.170001021
0.084133966,0.032580451,0.041793738
0.103397339,0.051747818,0.04951146
0.236595043,0.225177908,0.201815701
0.127036461,0.090248401,0.061142717
0.155661262,0.114613122,0.111723983
0.093878016,0.037046116,0.041608561
0.036600733,0.015414835,0.009391139
0.230924745,0.214790193,0.210118698
0.166927632,0.136134139,0.115740731
0.204083778,0.159927769,0.179778403
0.166220109,0.12563037,0.129485703
0.18301705,0.151810587,0.14861534
0.152723706,0.121117385,0.084096585
0.06816909,0.020159146,0.026740132
0.189667337,0.168594118,0.13855433
0.13126189,0.099189147,0.087762828
0.126968474,0.095493202,0.025607622
0.13305529,0.101655211,0.080588431
0.135406421,0.090309623,0.008504832
0.127653654,0.09616328,0.071496847
0.095824143,0.058997012,0.013131293
0.160539689,0.111359191,0.093491593
0.030781145,0.013325286,0.003340945
0.132513133,0.089450921,0.079610111
0.123591538,0.087005834,0.06465987
0.177780332,0.146721587,0.132415956
0.142985103,0.087135084,0.075277724
0.196760089,0.152892683,0.16192097
0.093310735,0.05029364,0.029955746
0.204767945,0.173085072,0.147782932
0.175277858,0.150423519,0.140614106
0.048240017,0.020174527,0.011808573
0.105202571,0.068620812,0.060809435
0.200610759,0.180369738,0.172896052
0.179890595,0.145217997,0.134200702
0.210641488,0.192249557,0.190168825
0.066158154,0.020713695,0.032645166
0.120804415,0.08982374,0.053576444
0.154736325,0.126361324,0.099647339
0.136680683,0.10374086,0.047871832
0.184170464,0.143879744,0.12719713
0.179846731,0.155637744,0.137450729
0.048440368,0.015117339,0.026002591
0.167022106,0.128240781,0.120154537
0.170602197,0.147363519,0.13177128
0.054500164,0.010519474,0.015844675
0.14920481,0.098020209,0.078721626
0.202686722,0.184663174,0.178571016
0.14342513,0.082762397,0.100466613
0.113839312,0.054163557,0.070130713
0.084059842,0.048621535,0.018076737
0.099812282,0.06249812,0.040021473
0.192100283,0.170864096,0.139478075
0.161269843,0.100778158,0.11751781
0.066033529,0.02868277,0.007178234
0.152482358,0.092743612,0.104614972
0.111880982,0.062265882,0.021867604
0.134150209,0.078572822,0.077526455
0.1490223,0.122346974,0.079551789
0.097878635,0.033978053,0.040126735
0.122208619,0.091535186,0.065086925
0.070739273,0.038024639,0.019972466
0.183525782,0.153321102,0.130427213
0.083865957,0.043022432,0.03906339
0.021189224,0.007879236,0.004385351
0.08423155,0.053535782,0.02163855
0.137674724,0.094558111,0.07189883
0.199535379,0.1773758,0.164533911
0.202916307,0.173623067,0.159830036
0.199093506,0.181115755,0.16782187
0.134524248,0.100261081,0.084341464
0.153530455,0.10029208,0.097505074
0.213310884,0.184936318,0.181973489
0.208567741,0.190031307,0.180747904
0.087370538,0.044884551,0.021778085
0.070346679,0.028684934,0.040757007
0.12247556,0.05822274,0.070539414
0.180916002,0.153605959,0.118595491
0.114951614,0.063766649,0.052374429
0.08853097,0.02586299,0.028821534
0.201164406,0.180398848,0.166738533
0.05270573,0.018686012,0.005525639
0.135507476,0.108583878,0.078552321
0.109124326,0.078553425,0.042043936
0.077338692,0.027836706,0.028195739
0.128900998,0.083824193,0.045429003
0.189994227,0.164867125,0.148429114
0.146232432,0.118929529,0.068347107
0.185608752,0.154627626,0.131933797
0.087667803,0.055292962,0.040071969
0.099716942,0.04148896,0.045878123
0.147497764,0.117463273,0.100878241
0.095538978,0.039105831,0.035706888
0.08471834,0.03766412,0.023606059
0.140942852,0.095736908,0.072648291
0.099957906,0.060045891,0.031677641
0.094851693,0.039803149,0.035120637
0.178820533,0.130043812,0.096680015
0.191319066,0.172195766,0.170851188
0.115385791,0.083505035,0.068032165
0.165835285,0.13884349,0.114330398
0.166123229,0.124577356,0.109941967
0.155484807,0.118425801,0.095363918
0.125401052,0.093866598,0.073251014
0.068008494,0.029375093,0.011027258
0.164935743,0.144875211,0.130679397
0.140231451,0.113123361,0.046118418
0.099010316,0.044378523,0.013231033
0.152185315,0.116752176,0.084197867
0.156695881,0.129797044,0.097864717
0.144502506,0.086087305,0.09388896
0.102884262,0.037069155,0.057325918
0.121734838,0.093981919,0.073160349
0.214661052,0.187429355,0.177660863
0.143046432,0.095725482,0.106974107
0.104284555,0.058164076,0.060596388
0.154297865,0.114269287,0.1153359
0.087375541,0.049377049,0.032915375
0.192167721,0.163964811,0.144694172
0.132273708,0.061671575,0.073518726
0.045035178,0.02139519,0.007505893
0.104517837,0.069436104,0.051279968
0.13901575,0.112884969,0.084519439
0.165335177,0.113150186,0.121729989
0.171040409,0.145820369,0.129095215
0.156906262,0.130533998,0.111802147
0.157649702,0.114765222,0.087389354
0.113980038,0.077805851,0.062714409
0.145734377,0.113165472,0.110043018
0.214931031,0.187343359,0.20129021
0.158997158,0.113948104,0.122679653
0.150709696,0.132599448,0.091390715
0.056015471,0.028579804,0.009500064
0.165275857,0.126728261,0.11474369
0.157723004,0.109999655,0.102309096
0.084101879,0.047726648,0.0152272
0.158150998,0.137516407,0.10507605
0.171995261,0.140781727,0.128637768
0.187548778,0.157524909,0.134976064
0.091349711,0.052851684,0.019155717
0.136238807,0.072871343,0.079879875
0.155477417,0.100353162,0.113152671
0.034293515,0.013311795,0.007640304
0.169918408,0.122321692,0.114041538
0.153365616,0.126166433,0.109285678
0.11205917,0.080934072,0.050415073
0.130212238,0.0602781,0.079553382
0.209043009,0.18821302,0.150090812
0.141336324,0.078420709,0.09586153
0.214978122,0.197610566,0.177282186
0.17057734,0.140948477,0.133523187
0.142471813,0.107515902,0.096788677
0.132482595,0.106182418,0.096279971
0.214248316,0.196160343,0.186949569
0.167365847,0.144800769,0.119265594
0.169339552,0.147397439,0.108764724
0.147782135,0.102947723,0.069235924
0.126785967,0.086848091,0.080044492
0.073063774,0.040196309,0.031102186
0.183123971,0.140681226,0.136717172
0.1605874,0.11330419,0.117060787
0.148091961,0.121687587,0.067028882
0.133178498,0.072430214,0.085218033
0.151037743,0.086318949,0.107030136
0.116439766,0.070283448,0.051128561
0.189289394,0.164040901,0.147061676
0.100239675,0.064785917,0.036260135
0.103823313,0.045894664,0.055877807
0.153152326,0.124077046,0.089820514
0.194158248,0.162691921,0.131192594
0.174381265,0.140041119,0.145376613
0.14013554,0.108175367,0.1027532
0.140923623,0.090554014,0.052763712
0.206484004,0.165091815,0.167753485
0.153822423,0.12978689,0.107610759
0.135059422,0.097118395,0.066810878
0.184488627,0.147215273,0.147453242
0.134986666,0.090960373,0.0628764
0.193017389,0.148906884,0.146313776
0.175451497,0.133615473,0.145408321
0.05159555,0.007429134,0.014405989
0.199040254,0.15891446,0.168902308
0.162709401,0.13162247,0.127918875
0.144007246,0.112648934,0.061945453
0.170784384,0.122313821,0.099649861
0.107661147,0.053224966,0.041536711
0.14946894,0.105625114,0.104575138
0.111735823,0.07597616,0.058324408
0.169345441,0.110279576,0.081533339
0.143531427,0.116908722,0.113999333
0.156898511,0.12067523,0.11886809
0.091639324,0.038395889,0.033619899
0.049541295,0.019153855,0.009392505
0.110272355,0.062624324,0.043132356
0.184986193,0.150931344,0.114804681
0.136842992,0.106107284,0.08787104
0.110789783,0.080784816,0.049827934
0.130606171,0.07904504,0.04130397
0.117215044,0.085585631,0.066171132
0.070569327,0.013908896,0.02968941
0.09963661,0.061570909,0.044027086
0.096888851,0.06290137,0.050267853
0.026433255,0.006373597,0.004862206
0.221628363,0.207358975,0.183391574
0.087533387,0.045065211,0.034961498
0.118570831,0.080433048,0.039030511
0.156208202,0.113239239,0.092840445
0.056791085,0.033334264,0.013486991
0.141829377,0.087520345,0.105697331
0.169830405,0.130737909,0.139630805
0.170204286,0.146242669,0.133001226
0.183946263,0.149762803,0.124868229
0.070336337,0.032954231,0.015518548
0.081880866,0.021655685,0.017433554
0.183372932,0.15594002,0.144681381
0.111010856,0.054998925,0.04597751
0.155912468,0.108003063,0.10340994
0.093482982,0.046414767,0.031720762
0.095482495,0.048800436,0.03344526
0.205376728,0.181317127,0.182505997
0.132459007,0.098402641,0.070024133
0.050498865,0.01186035,0.013657254
0.157255208,0.133314483,0.112013604
0.042395614,0.014964998,0.007022156
0.165791427,0.13195434,0.1273982
0.176400261,0.153500046,0.135812655
0.079553882,0.042436665,0.022471088
0.161877964,0.120076331,0.094872249
0.085323253,0.041394568,0.034805166
0.13509154,0.107972948,0.079428849
0.098550671,0.051402491,0.021260883
0.153545956,0.119567061,0.116533629
0.161055879,0.10771816,0.09724874
0.203063106,0.182471985,0.170106931
0.086138948,0.03532598,0.024421755
0.120646648,0.050449742,0.036447013
0.109898746,0.082404847,0.03436773
0.161021416,0.117860052,0.102011841
0.179302527,0.159283849,0.128952526
0.108527305,0.079298464,0.041956853
0.155608147,0.12722643,0.084761707
0.16848369,0.147349863,0.139362507
0.15535552,0.131885867,0.09910141
0.060460605,0.020002593,0.015325615
0.162935149,0.125435928,0.119259034
0.112907222,0.060188151,0.042207072
0.198628251,0.172705344,0.165069066
0.090754635,0.027028954,0.04449423
0.145355129,0.111375994,0.076404794
0.233305249,0.208861231,0.216870231
0.152829607,0.090437583,0.107703418
0.123491611,0.077641346,0.073439049
0.142845205,0.109253985,0.077316349
0.15450162,0.092306522,0.118741961
0.147280974,0.104772,0.078733753
0.153541383,0.094296682,0.105820356
0.157140994,0.122752599,0.117269168
0.138558233,0.078185783,0.077804315
0.067396444,0.018902413,0.034476298
0.066636738,0.024114266,0.025421861
0.152688169,0.101520183,0.103591697
0.091494887,0.050961783,0.018146393
0.058151532,0.034089742,0.012369184
0.057189272,0.032672645,0.009668638
0.054927663,0.016415829,0.015490924
0.155450379,0.132534593,0.11653442
0.164688547,0.130759531,0.113273409
0.115025084,0.076827144,0.058894315
0.130490606,0.087383417,0.079691448
0.097263124,0.058443839,0.02692748
0.123084212,0.065596643,0.053868486
0.139219547,0.106787076,0.084554644
0.147261347,0.095166851,0.096678698
0.172425351,0.143796793,0.13941335
0.102788237,0.053937881,0.045836179
0.016894767,0.002475766,0.002668287
0.173531799,0.138578594,0.13607886
0.082252144,0.034996917,0.027733555
0.149433419,0.123560547,0.110402591
0.203317591,0.187067451,0.175952938
0.150820525,0.120023647,0.102064544
0.163079149,0.105210378,0.115678288
0.063945509,0.015203808,0.023015732
0.146806597,0.100766844,0.085838406
0.149362401,0.091816638,0.089384736
0.080672353,0.045350025,0.01964242
0.08427326,0.025622693,0.035957961
0.168091468,0.118850815,0.121116255
0.171233951,0.152362818,0.130602826
0.148333307,0.085312998,0.114973675
0.154127237,0.097093149,0.094717785
0.011939216,0.00254316,0.001201122
0.141174068,0.113516492,0.10052462
0.173742436,0.140734632,0.101083624
0.023189023,0.004860902,0.007030494
0.131821882,0.094284062,0.108298147
0.061056484,0.025750971,0.016487427
0.201067076,0.181945077,0.170437438
0.094695876,0.054683139,0.015248694
0.146124342,0.077208374,0.101384893
0.167567237,0.126885966,0.129014728
0.125186173,0.065404272,0.070580188
0.085917981,0.051766605,0.045057261
0.110215392,0.067330362,0.057292338
0.111344675,0.048403367,0.06527033
0.091238761,0.049761607,0.017181173
0.157033515,0.116142619,0.11783959
0.126747788,0.067358035,0.045437616
